sku,post_title,regular_price,description,categories,images,stock,bar
B1111,"Bulon Hexagonal Zincado USS 1/4"" x 12 mm",6.21,"","Buloneria,Buloneria>Bulon,Buloneria>Bulon>Bulon Hexagonal Zincado USS,Buloneria>Bulon>Bulon Hexagonal Zincado USS>Bulon Hexagonal Zincado USS 1/4""",https://aloverogarcia.com/merlo/wp-content/uploads/media/B1111-1183.jpg,,             
B1112,"Bulon Hexagonal Zincado USS 1/4"" x 22 mm",7.70,"","Buloneria,Buloneria>Bulon,Buloneria>Bulon>Bulon Hexagonal Zincado USS,Buloneria>Bulon>Bulon Hexagonal Zincado USS>Bulon Hexagonal Zincado USS 1/4""",https://aloverogarcia.com/merlo/wp-content/uploads/media/B1111-1183.jpg,,             
B1113,"Bulon Hexagonal Zincado USS 1/4"" x 25 mm",8.01,"","Buloneria,Buloneria>Bulon,Buloneria>Bulon>Bulon Hexagonal Zincado USS,Buloneria>Bulon>Bulon Hexagonal Zincado USS>Bulon Hexagonal Zincado USS 1/4""",https://aloverogarcia.com/merlo/wp-content/uploads/media/B1111-1183.jpg,,             
B1114,"Bulon Hexagonal Zincado USS 1/4"" x 32 mm",8.83,"","Buloneria,Buloneria>Bulon,Buloneria>Bulon>Bulon Hexagonal Zincado USS,Buloneria>Bulon>Bulon Hexagonal Zincado USS>Bulon Hexagonal Zincado USS 1/4""",https://aloverogarcia.com/merlo/wp-content/uploads/media/B1111-1183.jpg,,             
B1115,"Bulon Hexagonal Zincado USS 1/4"" x 38 mm",9.60,"","Buloneria,Buloneria>Bulon,Buloneria>Bulon>Bulon Hexagonal Zincado USS,Buloneria>Bulon>Bulon Hexagonal Zincado USS>Bulon Hexagonal Zincado USS 1/4""",https://aloverogarcia.com/merlo/wp-content/uploads/media/B1111-1183.jpg,,             
B1116,"Bulon Hexagonal Zincado USS 1/4"" x 44 mm",10.62,"","Buloneria,Buloneria>Bulon,Buloneria>Bulon>Bulon Hexagonal Zincado USS,Buloneria>Bulon>Bulon Hexagonal Zincado USS>Bulon Hexagonal Zincado USS 1/4""",https://aloverogarcia.com/merlo/wp-content/uploads/media/B1111-1183.jpg,,             
B1117,"Bulon Hexagonal Zincado USS 1/4"" x 50 mm",11.44,"","Buloneria,Buloneria>Bulon,Buloneria>Bulon>Bulon Hexagonal Zincado USS,Buloneria>Bulon>Bulon Hexagonal Zincado USS>Bulon Hexagonal Zincado USS 1/4""",https://aloverogarcia.com/merlo/wp-content/uploads/media/B1111-1183.jpg,,             
B1118,"Bulon Hexagonal Zincado USS 1/4"" x 63 mm",16.17,"","Buloneria,Buloneria>Bulon,Buloneria>Bulon>Bulon Hexagonal Zincado USS,Buloneria>Bulon>Bulon Hexagonal Zincado USS>Bulon Hexagonal Zincado USS 1/4""",https://aloverogarcia.com/merlo/wp-content/uploads/media/B1111-1183.jpg,,             
B1121,"Bulon Hexagonal Zincado USS 5/16"" x 12 mm",9.50,"","Buloneria,Buloneria>Bulon,Buloneria>Bulon>Bulon Hexagonal Zincado USS,Buloneria>Bulon>Bulon Hexagonal Zincado USS>Bulon Hexagonal Zincado USS 5/16""",https://aloverogarcia.com/merlo/wp-content/uploads/media/B1111-1183.jpg,,             
B1122,"Bulon Hexagonal Zincado USS 5/16"" x 19 mm",10.57,"","Buloneria,Buloneria>Bulon,Buloneria>Bulon>Bulon Hexagonal Zincado USS,Buloneria>Bulon>Bulon Hexagonal Zincado USS>Bulon Hexagonal Zincado USS 5/16""",https://aloverogarcia.com/merlo/wp-content/uploads/media/B1111-1183.jpg,,             
B1123,"Bulon Hexagonal Zincado USS 5/16"" x 25 mm",12.01,"","Buloneria,Buloneria>Bulon,Buloneria>Bulon>Bulon Hexagonal Zincado USS,Buloneria>Bulon>Bulon Hexagonal Zincado USS>Bulon Hexagonal Zincado USS 5/16""",https://aloverogarcia.com/merlo/wp-content/uploads/media/B1111-1183.jpg,,             
B1124,"Bulon Hexagonal Zincado USS 5/16"" x 32 mm",13.55,"","Buloneria,Buloneria>Bulon,Buloneria>Bulon>Bulon Hexagonal Zincado USS,Buloneria>Bulon>Bulon Hexagonal Zincado USS>Bulon Hexagonal Zincado USS 5/16""",https://aloverogarcia.com/merlo/wp-content/uploads/media/B1111-1183.jpg,,             
B1125,"Bulon Hexagonal Zincado USS 5/16"" x 38 mm",15.24,"","Buloneria,Buloneria>Bulon,Buloneria>Bulon>Bulon Hexagonal Zincado USS,Buloneria>Bulon>Bulon Hexagonal Zincado USS>Bulon Hexagonal Zincado USS 5/16""",https://aloverogarcia.com/merlo/wp-content/uploads/media/B1111-1183.jpg,,             
